Tabela,Atributo,Tipo,Nulo?,Chave?,Restricoes_Descricao
locadora,id_locadora,SERIAL,Não,PK,"Identificador único da locadora (auto-incremento)."
locadora,nome_locadora,VARCHAR(255),Não,-,"Nome fantasia da locadora. Restrição: UNIQUE."
locadora,cnpj,VARCHAR(20),Não,-,"Cadastro Nacional da Pessoa Jurídica da locadora. Restrição: UNIQUE. Espera-se formato com máscara (ex: XX.XXX.XXX/XXXX-XX)."
patio,id_patio,SERIAL,Não,PK,"Identificador único do pátio (auto-incremento)."
patio,id_locadora,INTEGER,Não,FK,"Identificador da locadora principal associada ao pátio. Ref: locadora(id_locadora) ON UPDATE CASCADE ON DELETE RESTRICT."
patio,nome_patio,VARCHAR(255),Não,-,"Nome identificador do pátio (ex: 'Galeão T1', 'Santos Dumont Embarque', 'Shopping Rio Sul G3')."
patio,endereco_patio,VARCHAR(500),Não,-,"Endereço completo do pátio."
vaga,id_vaga,SERIAL,Não,PK,"Identificador único da vaga no pátio (auto-incremento)."
vaga,id_patio,INTEGER,Não,FK,"Identificador do pátio ao qual a vaga pertence. Ref: patio(id_patio) ON UPDATE CASCADE ON DELETE RESTRICT."
vaga,status_vaga,VARCHAR(50),Não,-,"Status atual da vaga (ex: 'LIVRE', 'OCUPADA', 'MANUTENCAO', 'RESERVADA'). Recomenda-se CHECK constraint."
grupo_veiculo,id_grupo_veiculo,SERIAL,Não,PK,"Identificador único do grupo/categoria de veículo (auto-incremento)."
grupo_veiculo,nome_grupo,VARCHAR(100),Não,-,"Nome descritivo do grupo de veículo (ex: 'Econômico Básico', 'SUV Compacto', 'Executivo Luxo'). Restrição: UNIQUE."
grupo_veiculo,faixa_valor,"NUMERIC(12,2)",Não,-,"Valor base da diária ou faixa de referência de valor para o grupo de veículos."
veiculo,id_veiculo,SERIAL,Não,PK,"Identificador único do veículo (auto-incremento)."
veiculo,id_grupo_veiculo,INTEGER,Não,FK,"Grupo/categoria ao qual o veículo pertence. Ref: grupo_veiculo(id_grupo_veiculo) ON UPDATE CASCADE ON DELETE RESTRICT."
veiculo,id_locadora_proprietaria,INTEGER,Não,FK,"Locadora proprietária do veículo. Ref: locadora(id_locadora) ON UPDATE CASCADE ON DELETE RESTRICT."
veiculo,id_vaga_atual,INTEGER,Sim,FK,"Vaga onde o veículo está estacionado atualmente (se aplicável). Ref: vaga(id_vaga) ON UPDATE CASCADE ON DELETE SET NULL."
veiculo,placa,VARCHAR(12),Não,-,"Placa de identificação do veículo (formato Mercosul ou anterior). Restrição: UNIQUE."
veiculo,chassi,VARCHAR(50),Não,-,"Número do chassi do veículo. Restrição: UNIQUE."
veiculo,cor,VARCHAR(50),Não,-,"Cor predominante do veículo."
veiculo,status_veiculo,VARCHAR(50),Não,-,"Status atual do veículo (ex: 'DISPONIVEL', 'ALUGADO', 'EM_MANUTENCAO', 'EM_PREPARACAO', 'INATIVO'). Recomenda-se CHECK constraint."
veiculo,mecanizacao,BOOLEAN,Não,-,"Tipo de transmissão. Ex: TRUE para automática, FALSE para manual."
veiculo,ar_condicionado,BOOLEAN,Não,-,"Indica se o veículo possui ar condicionado (TRUE/FALSE)."
veiculo,marca,VARCHAR(100),Não,-,"Marca do veículo (ex: 'FIAT', 'VOLKSWAGEN', 'HYUNDAI')."
prontuario,id_registro_manutencao,SERIAL,Não,PK,"Identificador único do registro de manutenção (auto-incremento)."
prontuario,id_veiculo,INTEGER,Não,FK,"Veículo ao qual o registro de manutenção se refere. Ref: veiculo(id_veiculo) ON UPDATE CASCADE ON DELETE RESTRICT."
prontuario,data_ultima_manutencao,DATE,Não,-,"Data em que a manutenção ou inspeção foi realizada."
prontuario,estado_conservacao,VARCHAR(100),Não,-,"Descrição do estado de conservação geral do veículo no momento do registro."
